0 [1.00e+00, 1.00e+00, 1.00e+00]
1000 [1.00e+00, 1.00e+00, 1.00e+00]
2000 [1.00e+00, 1.00e+00, 1.00e+00]
3000 [1.00e+00, 1.00e+00, 1.00e+00]
4000 [1.00e+00, 1.00e+00, 1.00e+00]
5000 [1.00e+00, 1.00e+00, 1.00e+00]
6000 [1.00e+00, 1.00e+00, 1.00e+00]
7000 [1.00e+00, 1.00e+00, 1.00e+00]
8000 [1.00e+00, 1.00e+00, 1.00e+00]
9000 [1.00e+00, 1.00e+00, 1.00e+00]
10000 [1.00e+00, 1.00e+00, 1.00e+00]
11000 [1.00e+00, 1.00e+00, 1.00e+00]
12000 [1.00e+00, 1.00e+00, 1.00e+00]
13000 [1.00e+00, 1.00e+00, 1.00e+00]
14000 [1.00e+00, 1.00e+00, 1.00e+00]
15000 [1.00e+00, 1.00e+00, 1.00e+00]
16000 [1.00e+00, 1.00e+00, 1.00e+00]
17000 [1.00e+00, 1.00e+00, 1.00e+00]
18000 [1.00e+00, 1.00e+00, 1.00e+00]
19000 [1.00e+00, 1.00e+00, 1.00e+00]
20000 [1.00e+00, 1.00e+00, 1.00e+00]
21000 [1.00e+00, 1.00e+00, 1.00e+00]
22000 [1.00e+00, 1.00e+00, 1.00e+00]
23000 [1.00e+00, 1.00e+00, 1.00e+00]
24000 [1.00e+00, 1.00e+00, 1.00e+00]
25000 [1.00e+00, 1.00e+00, 1.00e+00]
